Role,Ethnicity,Rank
Manager,White,1
Manager,White,2
Manager,White,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,Asian,2
Manager,Mexican,3
Manager,African-American,4
Manager,White,1
Manager,Asian,2
Manager,Mexican,3
Manager,Mexican,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,Mexican,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,Mexican,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Mexican,4
Manager,Asian,1
Manager,Asian,2
Manager,Mexican,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,White,2
Manager,Mexican,3
Manager,Mexican,4
Manager,White,1
Manager,Asian,2
Manager,Mexican,3
Manager,African-American,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,Asian,2
Manager,Mexican,3
Manager,African-American,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,Asian,4
Manager,African-American,1
Manager,Asian,2
Manager,Mexican,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,Asian,1
Manager,Asian,2
Manager,Mexican,3
Manager,Mexican,4
Manager,White,1
Manager,Asian,2
Manager,Mexican,3
Manager,Mexican,4
Manager,Asian,1
Manager,Asian,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Mexican,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,Asian,3
Manager,Asian,4
Manager,White,1
Manager,Asian,2
Manager,Asian,3
Manager,African-American,4
Manager,Asian,1
Manager,White,2
Manager,African-American,3
Manager,Mexican,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Manager,Asian,1
Manager,Asian,2
Manager,Mexican,3
Manager,Mexican,4
Manager,African-American,1
Manager,Mexican,2
Manager,Asian,3
Manager,White,4
Manager,White,1
Manager,White,2
Manager,White,3
Manager,White,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,African-American,1
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,Mexican,4
Senior Engineer,Mexican,1
Senior Engineer,Asian,2
Senior Engineer,African-American,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Mexican,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Mexican,4
Senior Engineer,Asian,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,Mexican,2
Senior Engineer,Asian,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,African-American,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Mexican,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Asian,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,White,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,White,3
Senior Engineer,Asian,4
Senior Engineer,White,1
Senior Engineer,White,2
Senior Engineer,Asian,3
Senior Engineer,Mexican,4
Senior Engineer,White,1
Senior Engineer,Asian,2
Senior Engineer,Mexican,3
Senior Engineer,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Mexican,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,White,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Mexican,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Asian,3
Cleaner,Asian,4
Cleaner,African-American,1
Cleaner,Asian,2
Cleaner,White,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Asian,3
Cleaner,Asian,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Mexican,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Asian,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Asian,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Asian,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Asian,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Mexican,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Asian,4
Cleaner,White,1
Cleaner,Mexican,2
Cleaner,Asian,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,White,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,White,4
Cleaner,White,1
Cleaner,Mexican,2
Cleaner,African-American,3
Cleaner,Asian,4
Cleaner,Asian,1
Cleaner,Mexican,2
Cleaner,White,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Mexican,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Asian,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Asian,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Asian,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Mexican,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Asian,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Asian,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Mexican,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Mexican,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,White,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Mexican,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Asian,3
Cleaner,Asian,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Asian,3
Cleaner,Asian,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Asian,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Mexican,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,White,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Mexican,4
Cleaner,Asian,1
Cleaner,Asian,2
Cleaner,Asian,3
Cleaner,Asian,4
Cleaner,White,1
Cleaner,White,2
Cleaner,Asian,3
Cleaner,Asian,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,Mexican,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,African-American,4
Cleaner,White,1
Cleaner,White,2
Cleaner,White,3
Cleaner,White,4
Cleaner,White,1
Cleaner,Asian,2
Cleaner,Asian,3
Cleaner,Asian,4
Receptionist,Mexican,1
Receptionist,African-American,2
Receptionist,Asian,3
Receptionist,White,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Mexican,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Mexican,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Mexican,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Mexican,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Mexican,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Asian,3
Receptionist,Asian,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Mexican,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Mexican,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Asian,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Asian,3
Receptionist,Asian,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Mexican,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Asian,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,Asian,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,Asian,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Mexican,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Asian,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,Asian,4
Receptionist,White,1
Receptionist,Mexican,2
Receptionist,Asian,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Asian,3
Receptionist,Asian,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Mexican,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Mexican,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Asian,3
Receptionist,Asian,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Mexican,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Asian,3
Receptionist,Asian,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Mexican,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Mexican,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Asian,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Mexican,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Asian,3
Receptionist,Asian,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Mexican,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,Asian,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Receptionist,White,1
Receptionist,Asian,2
Receptionist,Mexican,3
Receptionist,African-American,4
Receptionist,White,1
Receptionist,White,2
Receptionist,Mexican,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,Mexican,4
Receptionist,White,1
Receptionist,White,2
Receptionist,White,3
Receptionist,White,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,White,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Asian,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,White,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,White,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,White,4
Data Analyst,White,1
Data Analyst,Asian,2
Data Analyst,Asian,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Asian,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Asian,3
Data Analyst,Mexican,4
Data Analyst,Asian,1
Data Analyst,African-American,2
Data Analyst,Mexican,3
Data Analyst,White,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Asian,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,Asian,2
Data Analyst,Asian,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,Asian,2
Data Analyst,Asian,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Asian,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,Asian,2
Data Analyst,Asian,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,Asian,2
Data Analyst,Asian,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Asian,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,White,4
Data Analyst,Asian,1
Data Analyst,White,2
Data Analyst,African-American,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,White,4
Data Analyst,White,1
Data Analyst,White,3
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Asian,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,White,4
Data Analyst,White,1
Data Analyst,Asian,2
Data Analyst,Asian,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Asian,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,Asian,2
Data Analyst,Mexican,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,Asian,2
Data Analyst,Mexican,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Mexican,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Asian,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Mexican,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,White,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,Asian,4
Data Analyst,White,1
Data Analyst,Asian,2
Data Analyst,African-American,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,White,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Mexican,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Mexican,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Mexican,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,Mexican,4
Data Analyst,Asian,1
Data Analyst,Asian,2
Data Analyst,Mexican,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Mexican,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,Asian,2
Data Analyst,Mexican,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,White,3
Data Analyst,African-American,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Mexican,3
Data Analyst,African-American,4
Data Analyst,Asian,1
Data Analyst,African-American,2
Data Analyst,White,3
Data Analyst,Mexican,4
Data Analyst,White,1
Data Analyst,White,2
Data Analyst,Mexican,3
Data Analyst,Mexican,4
