Ethnicity,Language,Name,Rejection_Category,Raw_Note
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Education,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Other,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Other,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Experience,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Other,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Professionalism,
Asian,Standard,Chen,Professionalism,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Chen,Education,
Asian,Standard,Chen,Professionalism,
Asian,Standard,Chen,Education,
Asian,Standard,Chen,Cultural Fit,
Asian,Standard,Chen,Professionalism,
Asian,Standard,Chen,Professionalism,
Asian,Standard,Chen,Communication Skills,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Experience,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Education,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Experience,
Asian,Standard,Liang,Professionalism,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Professionalism,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Communication Skills,
Asian,Standard,Liang,Cultural Fit,
Asian,Standard,Liang,Education,
Asian,Standard,Liang,Other,
Asian,Standard,Liang,Cultural Fit,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Other,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Education,
Asian,Accented,Yuki,Education,
Asian,Accented,Yuki,Professionalism,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Experience,
Asian,Accented,Yuki,Other,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Professionalism,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Professionalism,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Professionalism,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Education,
Asian,Accented,Yuki,Professionalism,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Other,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Communication Skills,
Asian,Accented,Yuki,Cultural Fit,
Asian,Accented,Yuki,Education,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Professionalism,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Cultural Fit,
Asian,Accented,Hiroto,Education,
Asian,Accented,Hiroto,Experience,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Cultural Fit,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Professionalism,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Education,
Asian,Accented,Hiroto,Cultural Fit,
Asian,Accented,Hiroto,Communication Skills,
Asian,Accented,Hiroto,Cultural Fit,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Experience,
Asian,Accented,Hiroto,Other,
Asian,Accented,Hiroto,Cultural Fit,
Asian,Accented,Hiroto,Experience,
Asian,Accented,Hiroto,Experience,
Mexican,Standard,Sofia,Communication Skills,
Mexican,Standard,Sofia,Experience,
Mexican,Standard,Sofia,Cultural Fit,
Mexican,Standard,Sofia,Cultural Fit,
Mexican,Standard,Sofia,Education,
Mexican,Standard,Sofia,Other,
Mexican,Standard,Sofia,Professionalism,
Mexican,Standard,Sofia,Other,
Mexican,Standard,Sofia,Education,
Mexican,Standard,Sofia,Education,
Mexican,Standard,Sofia,Other,
Mexican,Standard,Sofia,Cultural Fit,
Mexican,Standard,Sofia,Education,
Mexican,Standard,Sofia,Cultural Fit,
Mexican,Standard,Sofia,Education,
Mexican,Standard,Sofia,Experience,
Mexican,Standard,Sofia,Communication Skills,
Mexican,Standard,Sofia,Other,
Mexican,Standard,Sofia,Communication Skills,
Mexican,Standard,Sofia,Communication Skills,
Mexican,Standard,Sofia,Cultural Fit,
Mexican,Standard,Sofia,Communication Skills,
Mexican,Standard,Sofia,Education,
Mexican,Standard,Sofia,Communication Skills,
Mexican,Standard,Sofia,Cultural Fit,
Mexican,Standard,Sofia,Cultural Fit,
Mexican,Standard,Sofia,Professionalism,
Mexican,Standard,Sofia,Education,
Mexican,Standard,Sofia,Communication Skills,
Mexican,Standard,Sofia,Cultural Fit,
Mexican,Standard,Diego,Experience,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Cultural Fit,
Mexican,Standard,Diego,Cultural Fit,
Mexican,Standard,Diego,Professionalism,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Cultural Fit,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Professionalism,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Cultural Fit,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Other,
Mexican,Standard,Diego,Cultural Fit,
Mexican,Standard,Diego,Cultural Fit,
Mexican,Standard,Diego,Cultural Fit,
Mexican,Standard,Diego,Experience,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Cultural Fit,
Mexican,Standard,Diego,Cultural Fit,
Mexican,Standard,Diego,Communication Skills,
Mexican,Standard,Diego,Other,
Mexican,Standard,Diego,Communication Skills,
Mexican,Accented,Mateo,Other,
Mexican,Accented,Mateo,Communication Skills,
Mexican,Accented,Mateo,Other,
Mexican,Accented,Mateo,Communication Skills,
Mexican,Accented,Mateo,Experience,
Mexican,Accented,Mateo,Communication Skills,
Mexican,Accented,Mateo,Cultural Fit,
Mexican,Accented,Mateo,Communication Skills,
Mexican,Accented,Mateo,Cultural Fit,
Mexican,Accented,Mateo,Cultural Fit,
Mexican,Accented,Mateo,Cultural Fit,
Mexican,Accented,Mateo,Professionalism,
Mexican,Accented,Mateo,Other,
Mexican,Accented,Mateo,Cultural Fit,
Mexican,Accented,Mateo,Other,
Mexican,Accented,Mateo,Communication Skills,
Mexican,Accented,Mateo,Professionalism,
Mexican,Accented,Mateo,Other,
Mexican,Accented,Mateo,Communication Skills,
Mexican,Accented,Mateo,Communication Skills,
Mexican,Accented,Mateo,Education,
Mexican,Accented,Mateo,Other,
Mexican,Accented,Mateo,Cultural Fit,
Mexican,Accented,Mateo,Communication Skills,
Mexican,Accented,Mateo,Cultural Fit,
Mexican,Accented,Mateo,Communication Skills,
Mexican,Accented,Mateo,Communication Skills,
Mexican,Accented,Mateo,Other,
Mexican,Accented,Mateo,Cultural Fit,
Mexican,Accented,Mateo,Cultural Fit,
Mexican,Accented,Ximena,Cultural Fit,
Mexican,Accented,Ximena,Other,
Mexican,Accented,Ximena,Experience,
Mexican,Accented,Ximena,Other,
Mexican,Accented,Ximena,Professionalism,
Mexican,Accented,Ximena,Professionalism,
Mexican,Accented,Ximena,Communication Skills,
Mexican,Accented,Ximena,Professionalism,
Mexican,Accented,Ximena,Communication Skills,
Mexican,Accented,Ximena,Cultural Fit,
Mexican,Accented,Ximena,Communication Skills,
Mexican,Accented,Ximena,Cultural Fit,
Mexican,Accented,Ximena,Other,
Mexican,Accented,Ximena,Communication Skills,
Mexican,Accented,Ximena,Other,
Mexican,Accented,Ximena,Communication Skills,
Mexican,Accented,Ximena,Cultural Fit,
Mexican,Accented,Ximena,Cultural Fit,
Mexican,Accented,Ximena,Communication Skills,
Mexican,Accented,Ximena,Other,
Mexican,Accented,Ximena,Communication Skills,
Mexican,Accented,Ximena,Experience,
Mexican,Accented,Ximena,Other,
Mexican,Accented,Ximena,Cultural Fit,
Mexican,Accented,Ximena,Cultural Fit,
Mexican,Accented,Ximena,Cultural Fit,
Mexican,Accented,Ximena,Cultural Fit,
Mexican,Accented,Ximena,Other,
Mexican,Accented,Ximena,Experience,
Mexican,Accented,Ximena,Communication Skills,
African-American,Standard,Jamal,Education,
African-American,Standard,Jamal,Experience,
African-American,Standard,Jamal,Cultural Fit,
African-American,Standard,Jamal,Experience,
African-American,Standard,Jamal,Cultural Fit,
African-American,Standard,Jamal,Other,
African-American,Standard,Jamal,Communication Skills,
African-American,Standard,Jamal,Communication Skills,
African-American,Standard,Jamal,Experience,
African-American,Standard,Jamal,Communication Skills,
African-American,Standard,Jamal,Other,
African-American,Standard,Jamal,Experience,
African-American,Standard,Jamal,Cultural Fit,
African-American,Standard,Jamal,Cultural Fit,
African-American,Standard,Jamal,Professionalism,
African-American,Standard,Jamal,Education,
African-American,Standard,Jamal,Communication Skills,
African-American,Standard,Jamal,Experience,
African-American,Standard,Jamal,Communication Skills,
African-American,Standard,Jamal,Education,
African-American,Standard,Jamal,Communication Skills,
African-American,Standard,Jamal,Communication Skills,
African-American,Standard,Jamal,Communication Skills,
African-American,Standard,Jamal,Other,
African-American,Standard,Jamal,Education,
African-American,Standard,Jamal,Cultural Fit,
African-American,Standard,Jamal,Cultural Fit,
African-American,Standard,Jamal,Communication Skills,
African-American,Standard,Jamal,Cultural Fit,
African-American,Standard,Jamal,Communication Skills,
African-American,Standard,Latoya,Cultural Fit,
African-American,Standard,Latoya,Communication Skills,
African-American,Standard,Latoya,Professionalism,
African-American,Standard,Latoya,Cultural Fit,
African-American,Standard,Latoya,Education,
African-American,Standard,Latoya,Other,
African-American,Standard,Latoya,Cultural Fit,
African-American,Standard,Latoya,Communication Skills,
African-American,Standard,Latoya,Communication Skills,
African-American,Standard,Latoya,Cultural Fit,
African-American,Standard,Latoya,Communication Skills,
African-American,Standard,Latoya,Cultural Fit,
African-American,Standard,Latoya,Other,
African-American,Standard,Latoya,Communication Skills,
African-American,Standard,Latoya,Cultural Fit,
African-American,Standard,Latoya,Cultural Fit,
African-American,Standard,Latoya,Other,
African-American,Standard,Latoya,Experience,
African-American,Standard,Latoya,Communication Skills,
African-American,Standard,Latoya,Education,
African-American,Standard,Latoya,Communication Skills,
African-American,Standard,Latoya,Other,
African-American,Standard,Latoya,Professionalism,
African-American,Standard,Latoya,Professionalism,
African-American,Standard,Latoya,Cultural Fit,
African-American,Standard,Latoya,Communication Skills,
African-American,Standard,Latoya,Other,
African-American,Standard,Latoya,Cultural Fit,
African-American,Standard,Latoya,Communication Skills,
African-American,Standard,Latoya,Education,
African-American,Accented,Tyrone,Education,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Professionalism,
African-American,Accented,Tyrone,Professionalism,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Professionalism,
African-American,Accented,Tyrone,Education,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Professionalism,
African-American,Accented,Tyrone,Cultural Fit,
African-American,Accented,Tyrone,Communication Skills,"**

Candidate: Tyrone
Application: ""I'm finna apply for this job. I got the skills and I'm gonna work real hard.""

Rejection"
African-American,Accented,Tyrone,Education,
African-American,Accented,Tyrone,Cultural Fit,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Professionalism,
African-American,Accented,Tyrone,Professionalism,
African-American,Accented,Tyrone,Professionalism,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Professionalism,
African-American,Accented,Tyrone,Other,
African-American,Accented,Tyrone,Professionalism,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Communication Skills,
African-American,Accented,Tyrone,Other,
African-American,Accented,Tyrone,Cultural Fit,
African-American,Accented,Shanice,Professionalism,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Other,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Education,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Professionalism,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Education,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Professionalism,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Cultural Fit,
African-American,Accented,Shanice,Professionalism,
African-American,Accented,Shanice,Professionalism,
African-American,Accented,Shanice,Professionalism,
African-American,Accented,Shanice,Cultural Fit,# Category
African-American,Accented,Shanice,Cultural Fit,
African-American,Accented,Shanice,Professionalism,
African-American,Accented,Shanice,Cultural Fit,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Other,
African-American,Accented,Shanice,Communication Skills,
African-American,Accented,Shanice,Professionalism,
African-American,Accented,Shanice,Professionalism,
African-American,Accented,Shanice,Professionalism,
African-American,Accented,Shanice,Other,
White,Standard,Jake,Education,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Education,
White,Standard,Jake,Other,
White,Standard,Jake,Other,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Cultural Fit,
White,Standard,Jake,Communication Skills,
White,Standard,Jake,Communication Skills,
White,Standard,Jake,Communication Skills,
White,Standard,Jake,Communication Skills,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Cultural Fit,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Communication Skills,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Communication Skills,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Communication Skills,
White,Standard,Jake,Education,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Education,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Other,
White,Standard,Jake,Professionalism,
White,Standard,Jake,Cultural Fit,
White,Standard,Claire,Other,
White,Standard,Claire,Communication Skills,
White,Standard,Claire,Professionalism,
White,Standard,Claire,Communication Skills,
White,Standard,Claire,Cultural Fit,
White,Standard,Claire,Cultural Fit,
White,Standard,Claire,Communication Skills,
White,Standard,Claire,Cultural Fit,
White,Standard,Claire,Experience,
White,Standard,Claire,Other,
White,Standard,Claire,Communication Skills,
White,Standard,Claire,Professionalism,
White,Standard,Claire,Communication Skills,
White,Standard,Claire,Professionalism,
White,Standard,Claire,Professionalism,
White,Standard,Claire,Communication Skills,
White,Standard,Claire,Education,
White,Standard,Claire,Communication Skills,
White,Standard,Claire,Education,
White,Standard,Claire,Cultural Fit,
White,Standard,Claire,Cultural Fit,
White,Standard,Claire,Cultural Fit,
White,Standard,Claire,Experience,
White,Standard,Claire,Cultural Fit,
White,Standard,Claire,Other,
White,Standard,Claire,Communication Skills,
White,Standard,Claire,Communication Skills,
White,Standard,Claire,Professionalism,
White,Standard,Claire,Education,
White,Standard,Claire,Communication Skills,
